Rank,Title,Link,Abstract
28,Molecular profiling of advanced solid tumors and patient outcomes with genotype-matched clinical trials: the Princess Margaret IMPACT/COMPACT trial,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-016-0364-2,The clinical utility of molecular profiling of tumor tissue to guide treatment of patients with advanced solid tumors is unknown. Our objectives were to evaluate the frequency of genomic
29,312P ClinMatch: A clinical trial matching platform that improves trial accessibility among NSCLC patients through comprehensive genomic and clinical profiling,https://www.annalsofoncology.org/article/S0923-7534(22)04532-X/abstract,"language processing algorithm that curates trial descriptions and patient records (2) A cloud  and fuzzy search of matching eligibility criteria. As a pilot study, patients with non-small cell"
30,Developments in alcoholism treatment research: Patient-treatment matching,https://www.sciencedirect.com/science/article/pii/0741832994900698,"Treatment matching THE purpose of this article is to describe patient-treatment matching, a  methods for a multisite clinical trial matching alcoholism patients to treatment. Alcohol. Clin."
31,Digital ECMT Cancer Trial Matching Tool: an Open Source Research Application to Support Oncologists in the Identification of Precision Medicine Clinical Trials,https://ascopubs.org/doi/abs/10.1200/CCI.22.00137,"However, the matching process  trial information to support oncologists in the matching process, and we illustrate its utility with recent case studies of patients who were matched to trials"
32,Mobile Clinical Trial Matching Technology in Medical Oncology Clinic: A Pilot Feasibility Study,https://ascopubs.org/doi/abs/10.1200/CCI.21.00182,online patient-facing intervention to promote clinical trial discussions  trial discussion during medical oncology visits for patients with advanced PCa and increased interest in clinical trial
33,OncoCTMiner: streamlining precision oncology trial matching via molecular profile analysis,https://www.medrxiv.org/content/10.1101/2023.07.10.23292477.abstract,"patient genetic data to trial eligibility criteria poses a significant challenge for physicians, who must  platform aims to offer an intuitive solution that enhances automated trial matching."
34,Matching patient records to clinical trials using ontologies,https://link.springer.com/chapter/10.1007/978-3-540-76298-0_59,"matching patients to clinical trials can be formulated as a problem of semantic retrieval, ie, a clinical trial  For the use of clinical trial matching, which is currently a manual process, our"
35,Trial prospector: matching patients with cancer research studies using an automated and scalable approach,https://journals.sagepub.com/doi/abs/10.4137/CIN.S19454,for individual patients. We introduce the Trial Prospector tool that supports end-to-end management of cancer clinical trial recruitment workflow with (a) structured entry of trial eligibility
36,Review of the Performance Metrics for Natural Language Systems for Clinical Trials Matching,https://ebooks.iospress.nl/doi/10.3233/SHTI220156,"In this study, the evaluation methods of clinical trial matching systems are investigated for their definitions of gold-standard. This study urges the need for a gold standard in the patient"
37,Improving disease named entity recognition for clinical trial matching,https://ieeexplore.ieee.org/abstract/document/8983421/,"as clinical trial matching, patient profiling,  trial texts have unique complexities compared to patient-centric clinical reports or biomedical research articles, as they typically define patient"
38,Improving Data Quality in an Institutional Clinical Trial Data Repository to Support Patient-Trial Matching,https://jscholarship.library.jhu.edu/handle/1774.2/67315,"unstructured aggregated institutional clinical trial summaries with their  trial texts belonging to the same trial (matches) and those belonging to different trials (mismatches), using trial"
39,A pilot study to implement an artificial intelligence (AI) system for gastrointestinal cancer clinical trial matching,https://www.sciencedirect.com/science/article/pii/S0923753419596430,Patients were evaluated against 50 GI-specific drug therapy and multi-disease phase I  trial matching using CTM took an average of 10.1 minutes (Range: 4 to 20 min) per patient
40,Matching patients and practitioners based on beliefs about care: results of a randomized controlled trial,http://ajmc.s3.amazonaws.com/_media/_pdf/AJMC_04novKrupat814to22.pdf,"arm generated better matches on patient-practitioner beliefs than Usual Care; however, trust and satisfaction were higher among Guided Choice patients. Across study arms, patient-"
41,Prospective RBC phenotype matching in a strokeprevention trial in sickle cell anemia: a multicenter transfusion trial,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1537-2995.2001.41091086.x,"of the recipientdonor population was a factor in the development of alloimmunization among SCD patients, we determined the RBC phenotypes of 125 patients (Table 2). Five"
42,Cost-effectiveness potential of a clinical trial matching application in cancer care,https://aaltodoc.aalto.fi/handle/123456789/109389,"This study focuses on the trial matching of patients with acute myeloid leukemia (AML). AML is a serious disease in need of new treatments, and there are many trials evaluating new"
43,MatchMiner: An open-source AI precision medicine trial matching platform,https://aacrjournals.org/cancerres/article/83/7_Supplement/1067/721619,"patients who are more likely to be ready to enroll onto a trial. By using NLP to filter trial matches, we  s efficiency of finding trial matches and provide more timely trial options for patients."
44,MatchMiner: An open source computational platform for real-time matching of cancer patients to precision medicine clinical trials using genomic and clinical criteria,https://www.biorxiv.org/content/10.1101/199489.abstract,"Results To meet these needs, we built and deployed an automated clinical trial matching platform called MatchMiner at the Dana-Farber Cancer Institute (DFCI). The platform has been"
45,Automated Matching of Patients to Clinical Trials: A Patient-Centric Natural Language Processing Approach for Pediatric Leukemia,https://ascopubs.org/doi/abs/10.1200/CCI.23.00009,"To our knowledge, this project represents the first open-source attempt to generate a patient-centric clinical trial matching tool. The tool demonstrated acceptable performance when"
46,"AI for Healthcare: Diagnosis, Clinical-Trial Matching, and Patient Recruitment",https://oaktrust.library.tamu.edu/handle/1969.1/192242,2.2 Clinical-Trial Matching We are trying to explore how clinical trials for various patients can be matched with the right treatments. There has been active research in the domain of
47,Learnings from a pragmatic study to evaluate benefit of performing reflex clinical trial matching and providing clinical decision support to physicians.,https://ascopubs.org/doi/abs/10.1200/JCO.2019.37.15_suppl.e18006,trial matching can kick-start the process without requiring human intervention. Methods: Using a clinical trial matching  to perform reflex clinical trial matching on oncology patients. A
48,Effect of matching therapists to patients vs assignment as usual on adult psychotherapy outcomes: a randomized clinical trial,https://jamanetwork.com/journals/jamapsychiatry/article-abstract/2780658,"of patient-therapist matching with an individual-level, double-blind, randomized clinical trial within a community MHC system. Adult outpatients were randomly assigned to matching or"
49,A Hybrid Approach to Precision Medicine-related Biomedical Article Retrieval and Clinical Trial Matching.,https://openreview.net/pdf?id=JYUWmPqFD89,We build a hybrid system to retrieve and match treatment-related biomedical articles and clinical trials to eligible patients based on a strict rule matching approach and an ontology-
50,1933MO TransFAL: Establishment of clinical trial-matched luminal breast cancer patient-derived xenografts (PDX) for translational studies,https://www.annalsofoncology.org/article/S0923-7534(20)41322-5/abstract,Background PARSIFAL was a randomized phase II trial aimed at evaluating the efficacy of palbociclib (P) plus either fulvestrant (F) or letrozole (L) in Estrogen Receptor [+]/Human
51,Matching Patients to Clinical Trials with Large Language Models,https://arxiv.org/abs/2307.15051,"three publicly available patient-trial matching datasets, where the patients are represented  However, clinical trial matching in real life often requires the recruiters to check the patients"
52,Simulating patient matching to clinical trials using a property rights blockchain,https://journals.lww.com/dm/Fulltext/2020/06010/Simulating_patient_matching_to_clinical_trials.8.aspx,Trial matching services review the patient blockchain records and recommend study participants that are likely to meet the enrollment criteria of recruiting clinical trials. Digital
53,"OA10. 03 How LungMATCH, A Personalized Treatment Navigation and Clinical Trial Matching Service, Affects the Treatment Journey",https://www.jto.org/article/S1556-0864(21)02489-8/abstract,treatment navigation and clinical trial matching. The program gives patients and caregivers access to  and nation-wide clinical trial searches and matching in addition to free educational
54,A phase I/II dose-escalation trial of vitamin D3 and calcium in multiple sclerosis,https://n.neurology.org/content/74/23/1852.short,"trial matched patients with MS for demographic and disease characteristics, with randomization to treatment or control groups. Treatment patients  was given throughout the trial. Primary"
55,Fox Trial Finder: An Innovative Web-Based Trial Matching Tool To Facilitate Clinical Trial Recruitment (P02. 241),https://n.neurology.org/content/78/1_Supplement/P02.241.short,trial recruitment: 1) Patient  PD patients had participated in a trial. (This survey is being repeated; results will be available for presentation at the meeting.) Existing online PD clinical trial
56,Impella support for acute myocardial infarction complicated by cardiogenic shock: matched-pair iabp-shock II trial 30-day mortality analysis,https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.118.036614,"All patients underwent early  II) trial inclusion and exclusion criteria, 372 patients were identified and included in this analysis. These patients were matched to 600 patients from the IABP"
57,Abstract P5-07-01: BreastCancerTrials. org: Early Evaluation of a Nationwide Clinical Trial Matching Service,https://aacrjournals.org/cancerres/article/70/24_Supplement/P5-07-01/560565,"that breast cancer patients were willing to use an online clinical trial matching service, that  led to valid matches. In a companion study to evaluate the accuracy of patient-entered data,"
58,Initial results of a new clinical trial matching service to increase patient participation,https://ascopubs.org/doi/abs/10.1200/jco.2009.27.15_suppl.e17504,e17504 Methods: Data from CTMS constituents and follow-up information describing enrollment status and barriers to trial participation are reviewed. Results: During 15 months of
59,"A prospective, multicenter, phase I matched-comparison group trial of safety, pharmacokinetics, and preliminary efficacy of riluzole in patients with traumatic spinal",https://www.liebertpub.com/doi/abs/10.1089/neu.2013.2969,matched patients in the NACTN SCI Registry. Medical complications in riluzole-treated patients occurred with incidences similar to those in patients  patients for different enzymes. Three
60,A matched-pair cluster-randomized trial of guided care for high-risk older patients,https://link.springer.com/article/10.1007/s11606-012-2287-y,"During 20062009, we conducted a matched-pair, cluster-randomized controlled trial of Guided Care versus usual care in eight community-based primary care practices operated by"
61,Matching patients with alcohol disorders to treatments: Clinical implications from Project MATCH,https://www.tandfonline.com/doi/abs/10.1080/09638239817743,"trial, tested the matching hypothesis that alcoholism treatment outcomes can be improved by matching subgroups of patients  multisite clinical trial matching patients to alcoholism treat-"
62,Assessing patient trial readiness for precision cancer medicine clinical trials through computational trial matching and rule-based logic applied to genomic and clinical,https://aacrjournals.org/cancerres/article-abstract/78/13_Supplement/2288/626562,"of potential patient-trial matches is performed.  patient-trial matches are computed across all open trials, which are then computationally filtered to a list of ~300 patient-trial matches"
63,Outcomes are not different for patient-matched versus nonmatched treatment in subjects with chronic recurrent low back pain: a randomized clinical trial,https://www.sciencedirect.com/science/article/pii/S1529943014002988,outcomes for patients with chronic LBP who were either matched or  We hypothesized that patients who were matched to  compared with patients who were not matched to treatment.
64,Prognosis of patients with nonST-segmentelevation myocardial infarction and nonobstructive coronary artery disease: propensity-matched analysis from the acute,https://www.ahajournals.org/doi/abs/10.1161/circinterventions.113.000606,"selected a patient with nonobstructive CAD and then matched that patient with 3 patients in  To assess the success of the matching procedure, we evaluated standardized differences of"
65,"Impact of yoga on blood pressure and quality of life in patients with hypertensiona controlled trial in primary care, matched for systolic blood pressure",https://link.springer.com/article/10.1186/1471-2261-13-111,"At baseline, the patients underwent standardized blood pressure measurement at the health  of the patients (92%) were on antihypertensive medication, and the patients were requested"
66,Accelerated clinical discovery using self-reported patient data collected online and a patient-matching algorithm,https://www.nature.com/articles/nbt.1837,-led study were announced before the first randomized control trial had started recruitment. ( with multiple sclerosis patients suggest some benefit from using a matching algorithm to
67,MatchMiner: Computational matching of cancer patients to precision medicine clinical trials,https://www.ejcancer.com/article/S0959-8049(20)31112-6/abstract,-genomic data for trial matching. Support for  trial information in a computable form and developed an open-source computational trial matching platform to support patient-specific trial
68,Lack of evidence of increased mortality among patients with atrial fibrillation taking digoxin: findings from post hoc propensity-matched analysis of the AFFIRM trial,https://academic.oup.com/eurheartj/article-abstract/34/20/1489/489962,of balanced-matched cohort of 890 pairs of patients based on propensity  matched cohort of 137 pairs of patients based on 205 patients receiving new digoxin therapy and 1329 patients
69,"A081: Trial Library: A pilot study to examine feasibility, acceptability, and preliminary estimates of efficacy for an online clinical trial matching website on patient",https://aacrjournals.org/cebp/article/29/6_Supplement_1/A081/230787,trial matching tool. We hypothesize that use of the Internet-based  trial matching tool in clinic will increase the number of patient-initiated conversations with physicians about clinical trial
70,transplantation is less effective than conventional consolidation/maintenance chemotherapy in all patients: final results of the International ALL Trial (MRC UKALL XII,https://ashpublications.org/blood/article-abstract/111/4/1827/133215,All patients who had an HLA-matched sibling donor were assigned to receive an allogeneic transplant. Patients with the Philadelphia chromosome could also receive a matched
71,technique on circulating tumor cells and survival in patients with nonsmall cell lung cancer: a randomized clinical trial and registry-based propensity score matching,https://jamanetwork.com/journals/jamasurgery/article-abstract/2732431,Findings In this randomized clinical trial of 86 patients  65% of patients in the artery-first group and 31.6% of patients in the  cancerspecific survival for the patients in the vein-first group
72,Medical versus surgical ICU obese patient outcome: a propensity-matched analysis to resolve clinical trial controversies,https://www.ingentaconnect.com/content/wk/ccm/2018/00000046/00000004/art00003,", using a propensity scorematched analysis of patients with medical or surgical admission.  surgical obese patients, before and after matching. Before matching, medical patients had a"
73,First results from a propensity matching trial of mycophenolate mofetil vs. azathioprine in treatment-naive AIH patients,https://www.frontiersin.org/articles/10.3389/fimmu.2021.798602/full,"of response in AIH patients (4). Accordingly, since 2016, we conducted a propensity matching trial of MMF vs. AZA administration in consecutive treatment-naive AIH patients in order to"
74,", phase III clinical trial of antiT-lymphocyte globulin to assess impact on chronic graft-versus-host diseasefree survival in patients undergoing HLA-matched",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8462523/,GVHD prophylaxis for patients who undergo myeloablative HLA-matched unrelated donor  We thank all the patients and their families for participating in this trial as well as the clinical
75,American Cancer Society (ACS) clinical trial matching service (CTMS),https://ascopubs.org/doi/abs/10.1200/jco.2006.24.18_suppl.18501,"lung cancer patients requesting trial information had more advanced disease than typical patients in the National Cancer Database ( 2 , p < 0.001). Enrollment rates for patients with"
76,Evaluation of patient satisfaction and shade matching of Vita Suprinity versus lithium disilicate (E-max) ceramic crowns in the esthetic zone: a randomized,https://f1000research.com/articles/8-371,and patients as several studies concluded that patients were  assess patient satisfaction combined with shade matching of  Methods: 26 patients with teeth problems indicated for full
77,"Abstract LB-104: Clinical actionability and clinical trial matching for GENIE patient genotypes using My Cancer Genome, Personalized Cancer Therapy, and OncoKB",https://aacrjournals.org/cancerres/article/77/13_Supplement/LB-104/622436,"For the expanded trial set, patients with non-small cell lung cancer, colorectal  a trial. We will show how genetic testing panel size affects trial matching and present clinical trial matching"
78,I37 Hd trialfinder: a clinical trial matching resource for the HD community,https://jnnp.bmj.com/content/87/suppl_1/a71.3.abstract,"riers to trial participation. Aim HDSA identified the lack of a patient friendly, reliable clinical trial  The web-based portion is a free, easy-to-use clinical trial matching program that connects"
79,Validation of a software-based clinical trial matching platform for oncology using comprehensive clinical information.,https://ascopubs.org/doi/abs/10.1200/JCO.2018.36.15_suppl.e18589,trials fail to recruit enough patients to meet their statistical  clinical trial eligibility screening for individual cancer patients and  patients who were enrolled on a therapeutic clinical trial at
80,The effect of chairside verbal instructions matched with instagram social media on oral hygiene of young orthodontic patients: a randomized clinical trial,https://www.mdpi.com/2076-3417/11/2/706,"In addition, multimedia contents on Instagram were sent weekly to trial  Trial patients demonstrated significant improvements in  towards young patients under an orthodontic treatment."
81,Identifying subgroups of patients with acute/subacute nonspecific low back pain: results of a randomized clinical trial,https://journals.lww.com/spinejournal/fulltext/2006/03150/Identifying_Subgroups_of_Patients_With.4.aspx,"We further examined the impact of receiving matched treatment by comparing the proportions of patients progressing to Stage II treatment, and the number of treatment sessions"
82,Stage-matched intervention for adherence to CPAP in patients with obstructive sleep apnea: a randomized controlled trial,https://link.springer.com/article/10.1007/s11325-012-0766-3,"to shed light on the stage-matched intervention which is easy to  patients with OSAS in China. In this study, a 3-month stage-matched intervention had a favorable influence on patients"
83,Stepped care vs. matched care for mood and anxiety disorders: a randomized trial in routine practice,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0447.2005.00731.x,"Therefore, we conclude that patients do not necessarily benefit more from matched care with more intensive treatments than from stepped care with a low intensity treatment as a first"
84,An algorithm for prospective individual matching in a non-randomized clinical trial,https://www.sciencedirect.com/science/article/pii/S0895435601003997,intervention floor patients were successfully matched to control floor patients. Excellent  in our trial was accomplished by individually matching each intervention patient to a patient
85,Effects of digoxin at low serum concentrations on mortality and hospitalization in heart failure: a propensity-matched study of the DIG trial,https://www.sciencedirect.com/science/article/pii/S0167527307002872,"To achieve balance in baseline covariates, we matched all 982 low SDC patients to 982 unique patients in the placebo group, who had very similar propensities for low SDC (Fig. 1) [24]"
86,Patient-to-treatment matching,http://ndl.ethernet.edu.et/bitstream/123456789/11912/1/286.pdf#page=387,"patient-treatment matching is reviewed in this chapter. The primary emphasis is on the results of Project MATCH, a multisite US trial of patient-treatment matching  trial matching patients"
87,No difference in clinical outcome between patient-matched positioning guides and conventional instrumented total knee arthroplasty two years post,https://boneandjoint.org.uk/article/10.1302/0301-620X.98B7.37274,The surgeon enrolling patients in the trial was unaware of the type of treatment that patients would receive. The patients were also blinded to the method of alignment of the components
88,System in patients undergoing transcatheter aortic valve replacement: the PROTECT-TAVI Trial (PROphylactic effecT of furosEmide-induCed diuresis with matched,https://www.jacc.org/doi/abs/10.1016/j.jcin.2015.07.012,"strategy for AKI prevention in high-risk patients.  exactly matched to the volume of urine produced by the patient and precisely weighed by the system. The RenalGuard, with its matched"
89,"corrective osteotomy for malunited fractures of the upper extremity using patient-matched instruments: a prospective, multicenter, open-label, single-arm trial",https://journals.lww.com/jbjsjournal/FullText/2019/04170/Three_Dimensional_Corrective_Osteotomy_for.7.aspx,", and 3-D rapid prototyping technology has further enabled the manufacturing of patient-matched surgical guides and implants (patient-matched instruments, or PMIs). However, 3-D"
90,Clinical trial emulation by matching time-dependent propensity scores: the example of estimating impact of kidney transplantation,https://www.ingentaconnect.com/content/wk/ede/2020/00000032/00000002/art00012,"clinical trial, in which patients could not participate several times, we decided to perform the matching without replacement. This decision was also motivated by the fact that matching"
91,"Safety and efficacy of fluvoxamine in COVID19 ICU patients: an open label, prospective cohort trial with matched controls",https://bpspubs.onlinelibrary.wiley.com/doi/abs/10.1111/bcp.15126,"The study was designed as an open-label, prospective cohort trial with matched controls. The fluvoxamine patient cohort was prospectively matched for age, gender, vaccination against"
92,A randomized controlled trial of stagematched intervention for smoking cessation in cardiac outpatients,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1360-0443.2011.03733.x,The individualized stage-matched smoking cessation counselling was developed based on  matched protocol was used to provide an appropriate intervention that matched the patient's
93,and matched lymph node metastases-aspects on distribution and prognosis for patients with luminal A tumours: results from a prospective randomised trial,https://link.springer.com/article/10.1186/1471-2407-13-558,for patients alive and without metastases. The trial was approved by the Ethics committee at Lund University (LU240-01) and informed consent was obtained from all included patients.
94,Propensity-matched comparisons of clinical outcomes after transapical or transfemoral transcatheter aortic valve replacement: a placement of aortic transcatheter,https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.114.012525,"Therefore, using all as-treated PARTNER-I trial TAVR patients, including continuing access patients, we sought to identify differences in preprocedural characteristics of"
95,of a transtheoretical model-based exercise stage-matched intervention on exercise behavior in patients with coronary heart disease: a randomized controlled trial,https://www.sciencedirect.com/science/article/pii/S0738399114001293,"This was a three-group, repeated measures, randomized controlled trial. A total of 196 eligible patients were recruited and the patients at each stage were randomly allocated to one of"
96,Matching optimal pacemaker to patient: do we need a large scale clinical trial of pacemaker mode selection?,https://europepmc.org/article/med/8539151,"Matching optimal pacemaker to patient: do we need a large scale clinical trial of pacemaker mode selection?  A comment on this article appears in ""Ethics of a"
97,Animal-assisted therapy and agitation and depression in nursing home residents with dementia: a matched casecontrol trial,https://www.sciencedirect.com/science/article/pii/S1064748113001784,"Patients from the two groups were matched for age and  matched with the pretest total score of CMAI as the matching variable. After matching, 54 patients remained, with 27 matched"
98,for patients with uncomplicated acute appendicitis: A propensity scorematched analysis of patient-centered outcomes (the ACTUAA prospective multicenter trial),https://link.springer.com/article/10.1007/s00384-021-03843-8,"Of the 318 patients enrolled in the study, 27.4% underwent antibiotic-first therapy, and 72.6 The matched group was composed of 87 patients in both study arms. Of the 87 patients"
99,Genomic and transcriptomic profiling expands precision cancer medicine: the WINTHER trial,https://www.nature.com/articles/s41591-019-0424-4,trialWINTHERthat prospectively navigated patients to  The median PFS for patients with a high matching score and  ; the median PFS for patients with a low matching score or a
100,Myasthenia gravis is not an independent prognostic factor of thymoma: results of a propensity score matching trial of 470 patients,https://www.frontiersin.org/articles/10.3389/fonc.2020.583489/full,Differences in clinical characteristics and treatments between patients  matching trial to investigate whether MG is an independent prognostic predictor in thymoma. Methods: Patients
101,with matched hydration: the MYTHOS (induced diuresis with matched hydration compared to standard hydration for contrast induced nephropathy prevention) trial,https://www.jacc.org/doi/abs/10.1016/j.jcin.2011.08.017,"to a patient in an amount matched to the volume of urine produced by the patient, avoiding  patients were brought to the catheterization laboratory and underwent coronary angiography."
102,Matching-adjusted indirect comparisons: a new tool for timely comparative effectiveness research,https://www.sciencedirect.com/science/article/pii/S1098301512016105,patients in one treatment group (in this case the trial with IPD) are weighted by their inverse odds of being in that group versus the other treatment group (in this case the trial  be matched
103,Copy number evolution and its relationship with patient outcomean analysis of 178 matched presentation-relapse tumor pairs from the Myeloma XI trial,https://www.nature.com/articles/s41375-020-01096-y,"Importantly, few studies have been performed on patients from a randomized clinical trial  ) in matched diagnosisrelapse tumor pairs in 178 UK NCRI Myeloma XI trial patients [17]. We"
104,The effect of visual scanning exercises integrated into physiotherapy in patients with unilateral spatial neglect poststroke: a matched-pair randomized control trial,https://journals.sagepub.com/doi/abs/10.1177/1545968314526306,A matched-pair randomized control trial was conducted. Subjects were matched according to their  All patients received task-specific activities for a 4-week intervention period. The
